Date,Stock,Close,Volume
2019-03-21,INTC,53.38504028,19127200
2019-03-22,INTC,52.03673553,21438400
2019-03-25,INTC,51.56776047,16971400
2019-03-26,INTC,52.21259689,17724300
2019-03-27,INTC,51.93903732,19656000
2019-03-28,INTC,51.8901825,13607900
2019-03-29,INTC,52.46663666,18736100
2019-04-01,INTC,53.25802231,17830400
2019-04-02,INTC,53.11147308,13704500
2019-04-03,INTC,54.20574951,24552800
2019-04-04,INTC,54.63563919,16520500
2019-04-05,INTC,54.32299042,19268400
2019-04-08,INTC,54.40115738,11758800
2019-04-09,INTC,54.04942322,13339700
2019-04-10,INTC,54.46954346,13084000
2019-04-11,INTC,54.51839828,10845800
2019-04-12,INTC,55.12415695,12910200
2019-04-15,INTC,54.98737335,11676900
2019-04-16,INTC,55.40749741,30301900
2019-04-17,INTC,57.21500397,38788400
2019-04-18,INTC,57.14661407,20464200
2019-04-22,INTC,57.46903229,12327500
2019-04-23,INTC,57.42995071,17739900
2019-04-24,INTC,57.37133026,17723700
2019-04-25,INTC,56.28682709,27949900
2019-04-26,INTC,51.22579956,72364500
2019-04-29,INTC,49.93611908,42142300
2019-04-30,INTC,49.86772537,27130900
2019-05-01,INTC,49.59415436,20467600
2019-05-02,INTC,49.38897705,22655400
2019-05-03,INTC,50.56141663,25656600
2019-05-06,INTC,50.35007095,26245200
2019-05-07,INTC,49.62263489,29713400
2019-05-08,INTC,48.40369797,36812400
2019-05-09,INTC,45.82819748,59642200
2019-05-10,INTC,45.41532898,42522800
2019-05-13,INTC,43.99978256,39091900
2019-05-14,INTC,44.40282059,24706500
2019-05-15,INTC,44.84518051,23407900
2019-05-16,INTC,44.75670624,19954700
2019-05-17,INTC,44.12757492,22500400
2019-05-20,INTC,42.82017136,28675000
2019-05-21,INTC,43.70487976,25543400
2019-05-22,INTC,43.25269699,16932500
2019-05-23,INTC,43.77369308,35783900
2019-05-24,INTC,43.81301498,27168100
2019-05-28,INTC,42.8299942,34779900
2019-05-29,INTC,43.47878647,28450300
2019-05-30,INTC,43.97029495,21618900
2019-05-31,INTC,43.29201508,25532500
2019-06-03,INTC,42.72186661,31155700
2019-06-04,INTC,44.0292778,28094900
2019-06-05,INTC,43.79335403,20802000
2019-06-06,INTC,44.33401489,19076200
2019-06-07,INTC,45.24821854,24370300
2019-06-10,INTC,46.00514221,20806100
2019-06-11,INTC,46.05429077,18415500
2019-06-12,INTC,45.53328705,15899100
